254.32,11.589,6122.3,14,22,0,4
228.28,12.058,6323.9,12,20,0,4
247.16,10.663,5583.1,8,9,1,8
254.37,11.903,6285.5,15,26,0,3
252.31,9.9771,5199,14,20,0,4
294.17,16.991,9173.3,8,10,2,10
256.34,12.657,6731.3,14,24,0,4
214.3,-1.3753,1858.5,12,22,0,3
231.2,5.8981,3970.9,9,13,1,6
224.3,10.335,5292.7,13,20,0,3
179.13,11.116,5569.2,5,9,1,6
286.36,14.413,7771.8,15,26,0,5
218.25,10.14,5146.2,10,18,0,5
268.31,12.794,6849.5,14,20,0,5
166.13,13.39,7024.8,5,10,0,6
204.18,12.95,6812.1,8,12,0,6
294.17,17.369,9399.8,8,10,2,10
162.14,10.602,5401.9,6,10,0,5
212.16,10.061,5242.9,8,8,2,5
202.2,11.072,5478.1,9,14,0,5
212.29,10.63,5399.6,12,20,0,3
179.13,10.847,5364.7,5,9,1,6
202.16,11.631,5997.2,8,10,0,6
162.14,10.873,5650.9,6,10,0,5
224.13,11.256,5710.4,5,8,2,8
224.13,11.256,5710.4,5,8,2,8
213.14,17.152,9241.8,5,11,1,8
302.28,17.431,9551,13,18,0,8
197.14,13.772,7230.3,5,11,1,7
220.22,14.971,8065.6,9,16,0,6
188.18,12.603,6628.5,8,12,0,5
188.22,10.551,5396.7,9,16,0,4
188.18,9.9003,5068.5,8,12,0,5
184.19,9.9402,5074.3,9,12,0,4
209.11,11.917,6054,5,7,1,8
183.16,8.4606,4795.6,8,9,1,4
226.14,12.372,6343.1,5,10,2,8
249.17,12.295,6330.7,8,11,1,8
233.18,11.696,6041.5,8,11,1,7
218.29,11.998,6272.3,11,22,0,4
207.1,10.146,5132,5,5,1,8
142.11,9.9863,5189.6,6,6,0,4
200.23,10.025,5103.4,10,16,0,4
226.14,12.584,6476.9,5,10,2,8
176.17,10.865,5655.3,7,12,0,5
190.15,11.233,5764.7,7,10,0,6
233.18,11.841,6125.3,8,11,1,7
188.18,1.117,2529.6,8,12,0,5
174.19,11.258,5742.1,8,14,0,4
195.13,14.195,7428.9,5,9,1,7
176.12,11.132,5600.8,6,8,0,6
134.13,11.383,5805.3,5,10,0,4
202.2,11.072,5478.1,9,14,0,5
244.28,13.383,7134.3,12,20,0,5
183.16,10.093,5168.1,8,9,1,4
261.23,10.459,5378.6,10,15,1,7
325.14,16.901,9142.3,7,7,3,12
188.18,10.547,5415.2,8,12,0,5
245.19,11.928,6281.1,9,11,1,7
148.11,10.791,5557.4,5,8,0,5
176.21,0.31689,2434.7,8,16,0,4
154.16,10.171,5148.8,8,10,0,3
188.22,10.655,5443.2,9,16,0,4
216.23,10.926,5684.3,10,16,0,5
256.12,13.55,7072.5,5,8,2,10
148.11,10.657,5394,5,8,0,5
204.22,11.853,6224.4,9,16,0,5
280.15,16.814,9066.6,7,8,2,10
178.14,14.048,7506.9,6,10,0,6
188.22,10.459,5319.2,9,16,0,4
195.13,13.831,7177.1,5,9,1,7
221.12,12.392,6335.2,6,7,1,8
274.31,14.797,8015.1,13,22,0,6
179.13,11.116,5569.2,5,9,1,6
158.11,10.802,5778.5,6,6,0,5
188.18,10.162,5236.5,8,12,0,5
193.11,12.572,6461.2,5,7,1,7
162.14,11.11,5687.3,6,10,0,5
272.12,13.194,6936.3,5,8,2,11
256.34,12.409,6571.9,14,24,0,4
250.33,9.6397,4964.9,15,22,0,3
